theta_a,theta_f,coverage,correctness,product,f1,false_alarm_pct,accuracy,refused
0.34,0.7000000000000001,0.8629629629629629,0.5407725321888412,0.4666666666666667,0.35590669676448455,33.229166666666664,54.077253218884124,592
0.38,0.7700000000000001,0.8476851851851852,0.5505188421627526,0.4666666666666667,0.3416,30.138888888888886,55.05188421627526,658
0.29000000000000004,0.62,0.8777777777777778,0.5313818565400844,0.4664351851851852,0.3727497352629721,36.736111111111114,53.13818565400844,528
0.32,0.67,0.8692129629629629,0.5366178428761651,0.4664351851851851,0.3635698610095099,34.89583333333333,53.66178428761651,565
0.31,0.66,0.8703703703703703,0.535372340425532,0.46597222222222223,0.36725823976819993,35.34722222222222,53.537234042553195,560
0.3,0.64,0.8722222222222222,0.5339702760084926,0.46574074074074073,0.36970567121320896,35.729166666666664,53.397027600849256,552
0.34,0.7100000000000001,0.8583333333333333,0.5426105717367853,0.4657407407407407,0.3561123766135156,32.673611111111114,54.26105717367853,612
0.28,0.6,0.8814814814814815,0.5280987394957983,0.4655092592592593,0.37364935517601955,37.604166666666664,52.80987394957983,512
0.29000000000000004,0.63,0.8726851851851852,0.5328912466843502,0.46504629629629635,0.37219251336898396,36.18055555555556,53.289124668435015,550
0.36000000000000004,0.7600000000000001,0.8449074074074074,0.5504109589041096,0.46504629629629635,0.34803337306317045,30.520833333333336,55.041095890410965,670
0.37,0.7700000000000001,0.8449074074074074,0.5504109589041096,0.46504629629629635,0.34228456913827654,30.138888888888886,55.041095890410965,670
0.32,0.68,0.8629629629629629,0.5388948497854077,0.46504629629629624,0.3635690485005554,34.166666666666664,53.88948497854077,592
0.35000000000000003,0.7400000000000001,0.8486111111111111,0.5477359519912711,0.4648148148148148,0.3528493364558938,31.25,54.773595199127115,654
0.33,0.6900000000000001,0.8618055555555556,0.5390813859790492,0.4645833333333334,0.3587443946188341,33.645833333333336,53.90813859790492,597
0.28,0.61,0.8775462962962963,0.5294117647058824,0.46458333333333335,0.37359550561797755,37.15277777777778,52.94117647058824,529
0.3,0.65,0.8696759259259259,0.5342028214000533,0.46458333333333335,0.3682310469314079,35.520833333333336,53.42028214000533,563
0.39,0.7900000000000001,0.8395833333333333,0.5533498759305211,0.46458333333333335,0.3338815789473684,28.993055555555557,55.33498759305211,693
0.34,0.7200000000000001,0.8539351851851852,0.543778801843318,0.46435185185185185,0.35492525871981606,32.22222222222222,54.377880184331794,631
0.38,0.7800000000000001,0.8412037037037037,0.5517336268574573,0.4641203703703703,0.33807395367736687,29.54861111111111,55.17336268574573,686
0.3,0.66,0.867824074074074,0.534542544678581,0.4638888888888889,0.36752446538600947,35.34722222222222,53.4542544678581,571
0.34,0.7300000000000001,0.8495370370370371,0.5460490463215258,0.4638888888888889,0.3562596599690881,31.631944444444443,54.60490463215258,650
0.35000000000000003,0.7500000000000001,0.8453703703703703,0.5484665936473165,0.4636574074074074,0.3515532835233976,30.9375,54.84665936473165,668
0.28,0.62,0.8738425925925926,0.5305960264900662,0.46365740740740735,0.3734087694483734,36.736111111111114,53.05960264900662,545
0.31,0.67,0.8650462962962963,0.535991436981536,0.46365740740740735,0.36436950146627567,34.89583333333333,53.5991436981536,583
0.29000000000000004,0.64,0.8680555555555556,0.5338666666666667,0.46342592592592596,0.3707703383729302,35.729166666666664,53.38666666666667,570
0.33,0.7000000000000001,0.8574074074074074,0.5399568034557235,0.4629629629629629,0.3569811320754717,33.229166666666664,53.99568034557235,616
0.27,0.6,0.8777777777777778,0.5271624472573839,0.46273148148148147,0.37417102966841187,37.604166666666664,52.71624472573839,528
0.39,0.8000000000000002,0.8333333333333334,0.5552777777777778,0.46273148148148147,0.33208176887776386,28.333333333333332,55.52777777777778,720
0.36000000000000004,0.7700000000000001,0.8398148148148148,0.5507166482910695,0.4625,0.34380032206119165,30.138888888888886,55.07166482910695,692
0.32,0.6900000000000001,0.8569444444444444,0.539708265802269,0.46249999999999997,0.36036036036036034,33.645833333333336,53.970826580226905,618
0.37,0.7800000000000001,0.8384259259259259,0.5516289342904472,0.46249999999999997,0.33876221498371334,29.54861111111111,55.16289342904472,698
0.28,0.63,0.86875,0.5321076472155609,0.4622685185185186,0.3728571428571429,36.18055555555556,53.21076472155609,567
0.29000000000000004,0.65,0.8655092592592593,0.534100026745119,0.4622685185185185,0.3692976104272266,35.520833333333336,53.4100026745119,581
0.31,0.68,0.8587962962962963,0.5382749326145553,0.4622685185185185,0.364378478664193,34.166666666666664,53.82749326145553,610
0.33,0.7100000000000001,0.8527777777777777,0.5418023887079262,0.462037037037037,0.35719725818735715,32.673611111111114,54.18023887079262,636
0.34,0.7400000000000001,0.8449074074074074,0.5465753424657535,0.4618055555555556,0.35326299335677996,31.25,54.657534246575345,670
0.38,0.7900000000000001,0.8351851851851851,0.5529379157427938,0.4618055555555556,0.33484536082474226,28.993055555555557,55.29379157427938,712
0.27,0.61,0.8738425925925926,0.528476821192053,0.4618055555555555,0.3741209563994374,37.15277777777778,52.847682119205295,545
0.3,0.67,0.8625,0.5351583467525497,0.46157407407407414,0.36463683052090984,34.89583333333333,53.51583467525497,594
0.35000000000000003,0.7600000000000001,0.8405092592592592,0.549160011016249,0.4615740740740741,0.3485873458018305,30.520833333333336,54.9160011016249,689
0.29000000000000004,0.66,0.8636574074074074,0.53444116858751,0.461574074074074,0.3685932388222465,35.34722222222222,53.444116858751,589
0.39,0.8100000000000002,0.8280092592592593,0.5571708135308918,0.46134259259259264,0.33108108108108103,27.743055555555557,55.717081353089185,743
0.27,0.62,0.8701388888888889,0.5296621441872839,0.46087962962962964,0.37393767705382436,36.736111111111114,52.966214418728384,561
0.32,0.7000000000000001,0.8525462962962963,0.5405919087700244,0.4608796296296296,0.35860500379075055,33.229166666666664,54.059190877002436,637
0.33,0.7200000000000001,0.8483796296296297,0.5429740791268759,0.4606481481481482,0.35601691657054974,32.22222222222222,54.29740791268759,655
0.28,0.64,0.8641203703703704,0.5330833110099116,0.46064814814814814,0.3714388748647674,35.729166666666664,53.308331100991154,587
0.34,0.7500000000000001,0.8416666666666667,0.5473047304730473,0.46064814814814814,0.35196850393700785,30.9375,54.73047304730473,684
0.37,0.7900000000000001,0.8324074074074074,0.5528364849833148,0.4601851851851852,0.3355371900826446,28.993055555555557,55.28364849833148,724
0.3,0.68,0.85625,0.5374425520410921,0.46018518518518514,0.3646490902339399,34.166666666666664,53.744255204109216,621
0.33,0.7300000000000001,0.8439814814814814,0.5452550740537575,0.46018518518518514,0.3573643410852713,31.631944444444443,54.52550740537575,674
0.39,0.8200000000000002,0.8229166666666666,0.5592123769338959,0.46018518518518514,0.33062793677915425,27.152777777777775,55.92123769338959,765
0.36000000000000004,0.7800000000000001,0.8333333333333334,0.5519444444444445,0.45995370370370375,0.3402862985685072,29.54861111111111,55.19444444444444,720
0.26,0.6,0.8731481481481481,0.5267762460233298,0.4599537037037037,0.37521876093804685,37.604166666666664,52.67762460233298,548
0.32,0.7100000000000001,0.8479166666666667,0.5424515424515425,0.4599537037037037,0.3588370313695486,32.673611111111114,54.24515424515425,657
